name,description,birthDate,nationality
[Linhptmptm] - Bùi Giáng,Thi sĩ độc đáo với Mưa Nguồn và Lá Hoa Cồn,1926-12-17T00:00:00.000Z,Vietnam
[Linhptm] - Chế Lan Viên,Nhà thơ lớn với Điêu Tàn và Tràng An,1920-10-20T00:00:00.000Z,Vietnam
[Linhptm] - Tản Đà,Thi sĩ và nhà văn với Thề Non Nước,1889-05-19T00:00:00.000Z,Vietnam
[Linhptm] - Nguyễn Bính,Thơ mộc mạc đậm chất thôn quê với Lỡ Bước Sang Ngang,1918-02-13T00:00:00.000Z,Vietnam
[Linhptm] - Thế Lữ,Nhà thơ mới với Mấy Vần Thơ,1907-06-06T00:00:00.000Z,Vietnam
[Linhptm] - Phạm Duy,Nhạc sĩ và thi sĩ với Tình Ca,1921-10-05T00:00:00.000Z,Vietnam
[Linhptm] - Nguyễn Tuân,Nhà văn tùy bút với Vang Bóng Một Thời,1910-07-10T00:00:00.000Z,Vietnam
[Linhptm] - Khái Hưng,Nhà văn Tự Lực Văn Đoàn với Hồn Bướm Mơ Tiên,1896-01-01T00:00:00.000Z,Vietnam
[Linhptm] - Hoàng Cầm,Thi sĩ với Lá Diêu Bông,1922-02-22T00:00:00.000Z,Vietnam
[Linhptm] - Nguyễn Khuyến,Thi hào với thơ Nôm Thu Vịnh,1835-02-15T00:00:00.000Z,Vietnam
[Linhptm] - Phan Bội Châu,Nhà yêu nước và thi sĩ với Hải Ngoại Huyết Thư,1867-12-26T00:00:00.000Z,Vietnam
[Linhptm] - Trần Tế Xương,Thi sĩ trào phúng với Đời Mưa Gió,1870-08-23T00:00:00.000Z,Vietnam
[Linhptm] - Nguyễn Đình Chiểu,Thi hào yêu nước với Lục Tỉnh Tân Văn,1822-07-01T00:00:00.000Z,Vietnam
[Linhptm] - Quang Dũng,Thi sĩ và nhà văn với Tây Tiến,1921-05-11T00:00:00.000Z,Vietnam
[Linhptm] - Nguyễn Khoa Điềm,Nhà thơ với Đất Nước,1943-04-15T00:00:00.000Z,Vietnam
[Linhptm] - Thanh Tâm Tuyền,Thi sĩ tự do với Liên Đêm Mặt Trời,1936-03-13T00:00:00.000Z,Vietnam
[Linhptm] - Lê Đạt,Nhà thơ đổi mới với Bóng Chữ,1929-01-01T00:00:00.000Z,Vietnam
[Linhptm] - Dương Nghiễm Mậu,Nhà văn với Gia Tài Người Mẹ,1936-01-01T00:00:00.000Z,Vietnam
[Linhptm] - Xuân Diệu,Vua thơ tình với Vội Vàng,1916-02-02T00:00:00.000Z,Vietnam
[Linhptm] - Anh Thơ,Nữ thi sĩ với Bức Tranh Quê,1921-06-25T00:00:00.000Z,Vietnam